pl_name,default_flag,pl_masse,ra,dec,glon,glat,st_teff,sy_dist,sy_disterr1,sy_disterr2
Kepler-1987 d,1,,295.8254663,42.9433716,76.6116,9.4666,4769.0,595.683,10.608,-10.249
Kepler-1669 b,1,,297.4303826,39.8478795,74.4723,6.90783,4303.0,543.444,10.777,-10.373
Kepler-416 c,1,,291.5569554,39.2272923,71.75799,10.60929,,690.819,9.0135,-9.0135
Kepler-549 c,1,,283.0228527,47.2611431,76.89558,19.46173,5360.0,635.145,7.022,-6.872
Kepler-619 c,1,,290.8490899,48.4159782,80.05008,15.00864,5980.0,900.678,16.3815,-16.3815
Kepler-1610 c,1,,295.9049795,45.4054296,78.84084,10.58296,5295.0,864.331,24.2205,-24.2205
Kepler-618 d,1,,290.8490899,48.4159782,80.05008,15.00864,6122.0,900.678,16.3815,-16.3815
Kepler-1959 b,1,,296.022301,44.7326691,78.2779,10.19197,5071.0,479.263,5.559,-5.435
WASP-157 b,1,,201.6551525,-8.3176353,317.68341,53.54342,5772.0,334.037,6.51,-6.27
WASP-89 b,1,1875.197,313.9000261,-18.9714084,28.20647,-35.60741,5130.0,290.946,2.692,-2.645
CoRoT-2 b,1,1102.82,291.7770457,1.3836634,38.26267,-7.29102,5625.0,213.283,2.485,-2.43
Kepler-125 c,1,,298.2581101,47.6050031,81.59299,10.21915,3810.0,183.365,0.989,-0.979
